city,newhouse_url,province,secondhandhouse_url
安宁,http://anning.newhouse.fang.com/,,http://anning.esf.fang.com/
安陆,http://anlu.newhouse.fang.com/,,http://anlu.esf.fang.com/
巴彦淖尔,http://byne.newhouse.fang.com/,,http://byne.esf.fang.com/
霸州,http://hbbz.newhouse.fang.com,,http://hbbz.esf.fang.com
长寿,http://cqchangshou.newhouse.fang.com/,,http://cqchangshou.esf.fang.com/
常宁,http://cn.newhouse.fang.com/,,http://cn.esf.fang.com/
大冶,http://daye.newhouse.fang.com/,,http://daye.esf.fang.com/
定兴,http://dingxing.newhouse.fang.com/,,http://dingxing.esf.fang.com/
峨眉山,http://emeishan.newhouse.fang.com/,,http://emeishan.esf.fang.com/
法库,http://faku.newhouse.fang.com/,,http://faku.esf.fang.com/
繁昌,http://fanchang.newhouse.fang.com/,,http://fanchang.esf.fang.com/
广德,https://guangde.newhouse.fang.com/,,https://guangde.esf.fang.com/
高阳,http://gaoyang.newhouse.fang.com/,,http://gaoyang.esf.fang.com/
怀化,http://huaihua.newhouse.fang.com/,,http://huaihua.esf.fang.com/
海西,http://haixi.newhouse.fang.com/,,http://haixi.esf.fang.com/
桦甸,http://huadian.newhouse.fang.com/,,http://huadian.esf.fang.com/
洪湖,http://honghu.newhouse.fang.com/,,http://honghu.esf.fang.com/
江都,http://jiangdu.newhouse.fang.com/,,http://jiangdu.esf.fang.com/
济阳,http://sdjy.newhouse.fang.com/,,http://sdjy.esf.fang.com/
冀州,http://jz.newhouse.fang.com/,,http://jz.esf.fang.com/
库尔勒,http://kuerle.newhouse.fang.com/,,http://kuerle.esf.fang.com/
龙口,http://longkou.newhouse.fang.com/,,http://longkou.esf.fang.com/
临海,http://linhai.newhouse.fang.com/,,http://linhai.esf.fang.com/
罗源,http://luoyuan.newhouse.fang.com/,,http://luoyuan.esf.fang.com/
临颍,http://linying.newhouse.fang.com/,,http://linying.esf.fang.com/
弥勒,http://mile.newhouse.fang.com/,,http://mile.esf.fang.com/
宁乡,http://ningxiang.newhouse.fang.com/,,http://ningxiang.esf.fang.com/
平度,http://pingdu.newhouse.fang.com/,,http://pingdu.esf.fang.com/
普宁,http://puning.newhouse.fang.com/,,http://puning.esf.fang.com/
庆云,http://qingyun.newhouse.fang.com/,,http://qingyun.esf.fang.com/
全椒,http://quanjiao.newhouse.fang.com/,,http://quanjiao.esf.fang.com/
任丘,http://renqiu.newhouse.fang.com/,,http://renqiu.esf.fang.com/
神农架,http://shennongjia.newhouse.fang.com/,,http://shennongjia.esf.fang.com/
石河子,http://esf.newhouse.shihezi.fang,,http://esf.esf.shihezi.fang
泗阳,http://siyang.newhouse.fang.com,,http://siyang.esf.fang.com
吐鲁番,http://tulufan.newhouse.fang.com/,,http://tulufan.esf.fang.com/
台安,http://lnta.newhouse.fang.com/,,http://lnta.esf.fang.com/
文昌,http://wenchang.newhouse.fang.com/,,http://wenchang.esf.fang.com/
舞钢,http://wg.newhouse.fang.com/,,http://wg.esf.fang.com/
新沂,http://xinyi.newhouse.fang.com/,,http://xinyi.esf.fang.com/
雄安新区,https://xiongan.newhouse.fang.com/,,https://xiongan.esf.fang.com/
夏邑,http://xiayi.newhouse.fang.com/,,http://xiayi.esf.fang.com/
伊犁,http://yili.newhouse.fang.com/,,http://yili.esf.fang.com/
余姚,http://yuyao.newhouse.fang.com/,,http://yuyao.esf.fang.com/
邕宁,http://yongning.newhouse.fang.com/,,http://yongning.esf.fang.com/
蔚县,http://yuxian.newhouse.fang.com/,,http://yuxian.esf.fang.com/
张家界,http://zhangjiajie.newhouse.fang.com/,,http://zhangjiajie.esf.fang.com/
枝江,http://zhijiang.newhouse.fang.com/,,http://zhijiang.esf.fang.com/
钟山,http://zhongshan.newhouse.fang.com/,,http://zhongshan.esf.fang.com/
